name,price
"HP Desktop Computer Intel Core 2 Duo 8GB 250GB HD 17"" LCD DVD WIFI Windows 10 PC",127.28
Windows PC Dell Pro Tower Desktop Computer Core 2 Duo Up to 8GB 1TB HD 22in LCD,80.00
HP Prodesk Computer Desktop up to Intel i7 16GB RAM 500GB SSD Windows 10 Pro PC,149.99
,119.99
,659.00
Intel NUC D54250WYKH Computer i5 4250U 8GB RAM 250 GB  Includes AC Adapter,140.00
Windows 11 Dell OptiPlex i3 3.4GHZ 500GB 8GB RAM WiFi BT HDMI Desktop Computer ,167.39
Dell Optiplex 9020 SFF PC Core i7 4th Gen 16GB RAM 256GB SSD Hard Drive Win 10,225.00
Dell Core I5 8GB 500GB Windows 10 Desktop Computer + Wireless Keyboard and Mouse,179.00
Lenovo ThinkCentre M600 Tiny Mini PC Desktop Computer Intel Pentium Win10 Pro,126.99
Lenovo M910s SFF Computer Core i7-6700 Quad 3.40 4.00GHz 16GB NEW 512GB SSD WIFI,399.99
Dell Latitude Business Laptop Core i5 16GB Ram 256GB SSD Windows 10 Pro WiFi,249.95
CLEARANCE!! Fast HP Desktop Tower Computer PC 3.1 Intel 500GB HDD WINDOWS 10 Pro,99.95
"HP 23"" Widescreen All In One Computer i5 8GB 500GB WiFi Windows 10 Desktop PC",265.00
Dell Optiplex 990 Computer i5-2400 3.1Ghz 8GB Ram 500GB Windows 10 B990-4,77.99
Custom Desktop Gaming Capable Dell Computer Up to 16gb Ram 500gb Ssd 2gb I5 PC,190.99
CHUWI LarkBox Smallest 4K Mini PC Windows 10 Desktop Intel J4115 Computer 6+128G,163.29
Dell Windows 10 Desktop Computer Intel Core 2 Duo 4GB 250GB HD WIFI 19in LCD DVD,127.58
,69.99
Beelink SEi8 Mini PC 4 Core i5-8279U (Up to 4.1GHz) 16GB/500GB SSD Win10Pro ,374.99
Dell Optiplex 3010 SFF i5-3470 3.20GHz Business Desktop Computer Windows 10 PC,124.99
HP J5N50UT Chromebox 4GB RAM 16GB Intel Celeron 2955U Mini PC Desktop Computer,69.99
"Lenovo IdeaCentre AIO 3 AMD Desktop, 21.5"" FHD IPS Touch  250 nits",429.99
Dell OptiPlex 7060 Micro Hexa 6-Core i5-8500T 2.1GHz 16GB RAM 256GB M.2 SSD W11P,349.99
HP Pro 6300 Computer Dual Core 2.8Ghz 4GB 250GB USB 3.0 Windows 10 M6300-9,65.99
Dell PC i3 6th Gen Desktop Computer 8GB RAM 128GB SSD Windows 10 Pro Wi-Fi HDMI,127.33
