name,price
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card - USED,900.00
PNY XLR8 GeForce GTX 580 1.5GB GDDR5 Graphics Card,40.00
MSI GeForce RTX 3060 Gaming X 12GB GDDR6 Graphics Card (RTX3060GAMINGX1) NVIDIA,213.50
Dell AMD Radeon RX 550 4GB PCIe Graphics Video Card NDRG5,89.99
ZOTAC GeForce GTX 1060 AMP - 6GB GDDR5 Graphics Card,81.00
SAPPHIRE PULSE RX 580 8GB Graphics Card ,325.00
Gigabyte AMD Radeon RX 6600 XT 8GB Eagle GDDR6 Graphics card Fast 2-Day Shipping,409.99
MSI NVIDIA GeForce RTX 2060 SUPER 8GB GDDR6 Graphics Card (6397799),290.00
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6 Graphics Card,425.00
MSI GTX 660 Twin Frozr III OC 2GB GDDR5 Graphics Video Card HDMI Flawless!,60.00
ASUS NVIDIA GeForce 3060 Ti Strix V2 8GB Graphics Card Brand New Fast Ship,729.99
RX580 4GB GDDR5 OC Sapphire Pulse Graphics Card (11265-09-20G) Untested,199.97
Nvidia Geforce RTX 3070 Founders Edition FE Graphics Card 8GB GDDR6 (Non-LHR),979.94
MSI GeForce RTX 3080 GAMING Z Trio NON LHR 10GB GDDR6X Graphics Card,780.00
✅NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB Graphics Card SHIPS SAME DAY🔥,"1,000.00"
ZOTAC GeForce GTX 1070 Mini 8GB GDDR5 Graphics Card (ZT-P10700G-10M),150.00
NVIDIA GeForce RTX 3060 Ti Founders Edition 8GB GDDR6 Graphics Card Non-LHR,924.99
NVIDIA GeForce RTX 2080 8GB GDDR6 Graphics Card (9001G1802500000),750.00
AMD Radeon RX 6700 XT 12GB GDDR6 Graphics Card (100-438385),550.00
EVGA GeForce RTX 3060 Ti XC GAMING 8GB GDDR6 Graphics Card LHR,365.00
EVGA GeForce GTX 1060 6GB DDR5 Graphics Card (used),37.00
AMD Radeon PRO WX 2100 2GB Workstation Graphics Card,61.81
EVGA/NVIDIA GeForce GTX 1080 SC ACX 3.0 8GB GDDR5X 256-Bit Video Graphics Card,41.00
GIGABYTE NVIDIA GeForce RTX 3060 GAMING OC 12GB GDDR6 Graphics Card...,336.00
(Open Box)  ZOTAC GeForce GTX 1650 OC 4GB Graphics Card GPU,71.00
MSI GeForce RTX 2070 8GB GDRR6 Graphics Card (RTX2070GAMINGZ8G),475.00
"graphics cards lot, RTX 2060",205.49
EVGA NVIDIA GeForce RTX 3090 24GB GDDR6 Graphics Card (24GP53987KR),"1,000.00"
MAXSUN AMD Radeon RX 550 4GB GDDR5 ITX Computer PC Gaming Video Graphics Card...,125.00
DELL Matrox MGI G55-MDDE32F PCIe1x Dual DVI Video Graphics CARD FREE SHIP,24.99
EVGA GeForce GTX 1080 TI SC2 Gaming 11GB GDDR5X Graphics Card - Great Condition,500.00
EVGA GeForce RTX 3090 Ultra Gaming Graphics Card - 24GB GDDR6X 384-bit - PCI Exp,"2,049.99"
ASRock MD Radeon RX 5700 XT 8GB GDDR6 Graphics Card (RX5700XT),650.00
ASUS TUF Gaming GeForce RTX 3090 OC 24GB GDDR6X Graphics Card,"1,700.00"
